month_number,predicted_sales,forecast_month
49,68878.99833333332,2019-02-01
50,69767.31052491495,2019-03-01
51,70655.62271649658,2019-04-01
52,71543.93490807821,2019-05-01
53,72432.24709965986,2019-06-01
54,73320.55929124149,2019-07-01
55,74208.87148282312,2019-08-01
56,75097.18367440475,2019-09-01
57,75985.49586598638,2019-10-01
58,76873.808057568,2019-11-01
59,77762.12024914964,2019-12-01
60,78650.43244073128,2020-01-01
